	AGENT	ITERATION	NO OF GHOSTS	RESULT	TIME
0	A2	1	1	True	34.29192305
1	A2	2	1	True	26.73476791
2	A2	3	1	True	11.98332119
3	A2	4	1	True	16.94484115
4	A2	5	1	True	14.99322605
5	A2	6	1	True	10.80141687
6	A2	7	1	True	11.13571
7	A2	8	1	True	13.43325019
8	A2	9	1	True	15.35900187
9	A2	10	1	True	14.96123314
10	A2	11	1	True	15.17546391
11	A2	12	1	True	15.47103119
12	A2	13	1	True	11.94075704
13	A2	14	1	True	17.54862905
14	A2	15	1	True	12.42141271
15	A2	16	1	True	11.151402
16	A2	17	1	True	13.95774913
17	A2	18	1	True	14.50262666
18	A2	19	1	True	13.76199317
19	A2	20	1	True	13.1519649
20	A2	21	1	True	14.85867977
21	A2	22	1	True	11.12763405
22	A2	23	1	False	15.0829711
23	A2	24	1	True	10.39680505
0	A2	1	2	True	43.71626019477844
1	A2	2	2	True	20.66936492919922
2	A2	3	2	True	21.597501039505005
3	A2	4	2	True	15.564293146133425
4	A2	5	2	True	7.2396769523620605
5	A2	6	2	True	13.963075160980225
6	A2	7	2	True	9.995491027832031
7	A2	8	2	True	14.062523126602173
8	A2	9	2	True	16.139653205871582
9	A2	10	2	True	16.187968015670776
10	A2	11	2	True	16.83845090866089
11	A2	12	2	True	15.776727199554443
12	A2	13	2	False	13.84418797492981
13	A2	14	2	False	11.959115982055664
14	A2	15	2	True	16.644922018051147
15	A2	16	2	True	16.77142906188965
16	A2	17	2	True	15.214764833450316
17	A2	18	2	True	19.43122792243957
18	A2	19	2	False	12.514489889144896
19	A2	20	2	False	11.438199996948242
20	A2	21	2	True	16.95748496055603
21	A2	22	2	False	12.524728059768677
22	A2	23	2	True	308.1116409301758
23	A2	24	2	True	14.196382999420166
0	A2	1	3	False	2.325166940689087
1	A2	2	3	True	4.364958047866821
2	A2	3	3	True	19.975892066955566
3	A2	4	3	False	38.21121311187744
4	A2	5	3	True	16.25039505958557
5	A2	6	3	True	10.4389967918396
6	A2	7	3	True	19.42618703842163
7	A2	8	3	True	13.792181015014648
8	A2	9	3	True	15.142802953720093
9	A2	10	3	True	7.578359842300415
10	A2	11	3	True	14.750911951065063
11	A2	12	3	True	15.064478397369385
12	A2	13	3	True	15.84109902381897
13	A2	14	3	True	15.047991037368774
14	A2	15	3	True	13.369374990463257
15	A2	16	3	True	19.179760932922363
16	A2	17	3	True	18.49454379081726
17	A2	18	3	True	15.243326902389526
18	A2	19	3	True	14.516109943389893
19	A2	20	3	True	17.121341943740845
20	A2	21	3	True	13.658176183700562
21	A2	22	3	False	10.580496788024902
22	A2	23	3	True	15.684063911437988
23	A2	24	3	True	15.883844137191772
0	A2	1	4	True	40.870635747909546
1	A2	2	4	True	24.83497309684753
2	A2	3	4	True	13.689580917358398
3	A2	4	4	False	10.397470951080322
4	A2	5	4	True	14.480702877044678
5	A2	6	4	True	13.598957777023315
6	A2	7	4	True	11.129498958587646
7	A2	8	4	True	17.30137324333191
8	A2	9	4	True	15.591747045516968
9	A2	10	4	True	18.58339619636536
10	A2	11	4	False	12.245424270629885
11	A2	12	4	False	11.487284898757936
12	A2	13	4	True	22.39793038368225
13	A2	14	4	False	15.893234014511108
14	A2	15	4	True	16.950777053833008
15	A2	16	4	True	16.8671133518219
16	A2	17	4	True	18.219218015670776
17	A2	18	4	False	6.338964939117432
18	A2	19	4	False	7.886994123458862
19	A2	20	4	False	10.493980169296265
20	A2	21	4	True	15.977688789367676
21	A2	22	4	True	14.315715074539185
22	A2	23	4	True	16.97946286201477
23	A2	24	4	True	308.38675832748413
0	A2	1	5	True	25.401183128356934
1	A2	2	5	True	32.72105288505554
2	A2	3	5	True	12.94571590423584
3	A2	4	5	True	11.700490951538086
4	A2	5	5	False	15.180259943008425
5	A2	6	5	True	13.266475915908812
6	A2	7	5	True	13.773229122161863
7	A2	8	5	True	12.760658979415894
8	A2	9	5	True	15.2834312915802
9	A2	10	5	True	13.50890612602234
10	A2	11	5	True	14.721395015716553
11	A2	12	5	True	13.47374415397644
12	A2	13	5	True	15.85164713859558
13	A2	14	5	True	21.69378685951233
14	A2	15	5	True	17.381735801696777
15	A2	16	5	True	14.617987871170044
16	A2	17	5	True	14.245415210723875
17	A2	18	5	True	15.70310091972351
18	A2	19	5	True	13.822681903839111
19	A2	20	5	True	17.81766390800476
20	A2	21	5	True	14.177677869796751
21	A2	22	5	True	17.17165207862854
22	A2	23	5	True	15.265445947647097
23	A2	24	5	True	304.4644618034363
0	A2	1	6	False	2.253588914871216
1	A2	2	6	False	5.120594263076782
2	A2	3	6	True	36.93936204910278
3	A2	4	6	True	25.51324486732483
4	A2	5	6	True	14.267277956008911
5	A2	6	6	True	22.161986112594604
6	A2	7	6	True	15.546030044555664
7	A2	8	6	True	16.938974857330322
8	A2	9	6	True	15.340863943099976
9	A2	10	6	False	0.5871150493621826
10	A2	11	6	True	14.526119947433472
11	A2	12	6	True	13.054262161254885
12	A2	13	6	True	17.097601175308228
13	A2	14	6	True	18.264525175094604
14	A2	15	6	True	24.11068105697632
15	A2	16	6	False	16.977447986602783
16	A2	17	6	False	17.00844120979309
17	A2	18	6	False	13.882699012756348
18	A2	19	6	False	9.09610104560852
19	A2	20	6	True	17.160976886749268
20	A2	21	6	True	18.342888832092285
21	A2	22	6	True	18.064328908920288
22	A2	23	6	True	17.69256901741028
23	A2	24	6	True	310.09725999832153
0	A2	1	7	True	45.62894225120544
1	A2	2	7	True	23.065475702285767
2	A2	3	7	True	19.92847204208374
3	A2	4	7	True	17.86479902267456
4	A2	5	7	True	16.22996711730957
5	A2	6	7	True	18.552155017852783
6	A2	7	7	True	17.66402578353882
7	A2	8	7	True	18.78031086921692
8	A2	9	7	True	17.05943775177002
9	A2	10	7	False	10.803900003433228
10	A2	11	7	True	24.418436765670776
11	A2	12	7	True	18.11367392539978
12	A2	13	7	True	20.25056505203247
